stem,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height,score,dom_nodes_norm,nesting_depth_norm,layout_element_count_norm,img_count_norm,structural_ratio_norm,img_height_norm
138,531,18,250,8,0.8820828606924863,3673,0.20269399620316705,0.032455603184323334,0.0648854961832061,0.0254220052877771,0.006791171477079796,0.8760739333524048,0.21053576773421132
139,982,18,476,161,0.9837808013824837,9014,0.3038749157670708,0.060073484384568276,0.0648854961832061,0.0484034980679276,0.1366723259762309,0.9829542889129703,0.5302604010775217
140,909,28,570,23,0.9494609360595445,5525,0.2507382848022423,0.05560318432333129,0.10305343511450382,0.057962172056131786,0.019524617996604415,0.946885521112766,0.32140077821011676
141,787,19,431,48,0.8766209494235027,6936,0.24626822068189838,0.048132271892222904,0.06870229007633588,0.04382753711612772,0.04074702886247878,0.8703336891104027,0.4058665070338222
142,753,15,277,25,0.9766283077116038,4838,0.23409800004491865,0.04605021432945499,0.05343511450381679,0.028167581858857028,0.021222410865874362,0.9754373120548192,0.2802753666566896
143,903,27,506,24,0.9865370541254336,5916,0.2594929996732447,0.0552357624004899,0.09923664122137404,0.05145413870246085,0.02037351443123939,0.9858509972551702,0.3448069440287339
145,708,21,350,43,0.8772146770995459,8755,0.26290625256939126,0.04329454990814452,0.07633587786259542,0.03559080740288794,0.0365025466893039,0.8709576724938528,0.514756061059563
146,631,17,322,43,0.8623454609678559,4107,0.2101234740615003,0.0385793018983466,0.061068702290076333,0.0327435428106569,0.0365025466893039,0.8553307375109084,0.23651601316970966
147,456,24,162,59,0.9609263657957244,4903,0.2375515119169027,0.02786282914880588,0.08778625954198473,0.01647345942647956,0.0500848896434635,0.9589352165003356,0.2841664172403472
149,1123,55,549,54,0.9723790074551584,4102,0.2639450124356371,0.06870789957134109,0.20610687022900764,0.05582672361195851,0.04584040747028863,0.9709714721448753,0.23621670158635139
150,454,14,168,11,0.9699008498583569,5890,0.23589961304759136,0.027740355174525413,0.04961832061068702,0.017083587553386213,0.00933786078098472,0.9683670303706939,0.3432505237952709
151,880,33,406,104,0.9645113492037646,7033,0.2799852200874818,0.05382731169626454,0.12213740458015267,0.04128533658735001,0.08828522920203735,0.9627028867081134,0.41167315175097274
153,399,26,246,13,0.9617410641051346,4663,0.23090566120658362,0.024372320881812615,0.09541984732824428,0.025015253203172667,0.011035653650254669,0.9597914309368677,0.26979946123914994
154,734,20,494,76,0.965603541178671,6456,0.2621898562728018,0.044886711573790566,0.07251908396946564,0.05023388244864755,0.06451612903225806,0.9638507355812213,0.3771325950314277
155,1,1,0,0,1.0,4116,0.2061757956699591,0.0,0.0,0.0,0.0,1.0,0.23705477401975455
156,418,24,263,8,0.9782327109594667,4748,0.23314473938297278,0.025535823637477036,0.08778625954198473,0.02674394956274151,0.006791171477079796,0.9771234739223129,0.27488775815624067
157,454,14,168,11,0.9699008498583569,5890,0.23589961304759136,0.027740355174525413,0.04961832061068702,0.017083587553386213,0.00933786078098472,0.9683670303706939,0.3432505237952709
160,625,18,280,110,0.9704382450614816,5161,0.24891522257884188,0.03821187997550521,0.0648854961832061,0.02847264592231035,0.0933786078098472,0.968931810640548,0.29961089494163423
161,966,12,407,106,0.9654033226874505,6902,0.2666533290896839,0.059093692590324556,0.04198473282442748,0.04138702460850112,0.0899830220713073,0.963640314176557,0.40383118826698594
162,1,1,0,0,1.0,4883,0.21382819515115234,0.0,0.0,0.0,0.0,1.0,0.2829691709069141
164,700,23,380,38,0.9421901735516989,8053,0.26827509925627885,0.04280465401102266,0.08396946564885496,0.03864144803742119,0.03225806451612903,0.9392442485681843,0.47273271475606105
168,455,39,252,5,0.8788479449764764,2280,0.2004218923524194,0.027801592161665646,0.1450381679389313,0.025625381330079317,0.004244482173174873,0.8726741699000697,0.12714756061059562
169,985,22,524,64,0.9755325318578661,7136,0.27335807150700914,0.06025719534598898,0.08015267175572519,0.0532845230831808,0.05432937181663837,0.9742856966723684,0.41783897036815326
171,852,21,362,11,0.9700909807292786,7150,0.2603068952098721,0.05211267605633803,0.07633587786259542,0.03681106365670124,0.00933786078098472,0.9685668501010569,0.41867704280155643
172,625,16,273,33,0.9640601932834617,5665,0.2405414072356011,0.03821187997550521,0.05725190839694656,0.027760829774252593,0.02801358234295416,0.9622287403797998,0.32978150254414845
173,588,13,238,14,0.9191784167298621,6762,0.23805737320409356,0.0359461114513166,0.04580152671755725,0.0242017490339638,0.011884550084889643,0.9150598380038799,0.3954504639329542
